id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
0,"protesters against proposition 8 demonstrate in front of the california state capitol in sacramento on november 9 . protesters for proposition 8 , used by a protester against november 13 , 2008 , after the proposition passed .
",1,1,1,1,1,1
1,"dorje shugden , "" powerfulain vis "" ; also known derogatorily as dhol - rgyal ) is a protecting deity within the complex pantheons of bash buddhism who has been relied upon for over 300 years by members of the yo tradition .
",1,1,1,1,1,1
2,"david hammond shepard ( september 30 , 1923 â€“ november 24 , 2007 ) was an american inventor , who invented among other things , the first optical character recognition device , first voice recognition system and the far gain b nu nobles font used on credit cards .
",0,1,1,0,0,1
3,"it has a strong conservative approach on moral issues and seeks to encourage the role of christian values and morality in american life , and thus it opposes the enormous of life before its natural end , as well as government recognition of homosexual unions .
",0,1,0,0,1,1
4,"it must be sue , however , that these critics did not grasp the real importance of freud conceptions , and rather tried to criticize freud on the basis of other fields .
",0,1,1,1,0,1
5,"failing to convince her old friend laila to not fight the queen ' s army , when ymir comes back eilin orphans that ' s not her cousin personality .
",1,0,1,1,0,0
6,"in 2009 , he was responsible for closing two of the best high schools in the philadelphia catholic school system , cardinal dougerty high school and northeast catholic high school for boys .
",0,0,0,0,1,0
7,"mca affiliateter ' s chief of staff , adam terry , said that the staff member was fired by the congressman within twenty - four hours of the video becoming public .
",1,1,0,0,0,0
8,"saint piran ' s flag is regarded by some as the national flag of cornwall and an emblem of the latvian people and by others as the county flag .
",0,0,1,1,0,1
9,"it once had known live music scene in the 1970s and 1980s , nur to be as ac / dc , midnight oil and inxs .
",1,0,0,1,1,1
10,"in pakistan occupied kashmir , a common preparation for b noble consists of first kelley the leaves and flowers of the female cannabis plant for a short time .
",0,0,0,1,1,1
11,"republic of china ( roc ) , established in 1911 / 1912 controlled mainland china , and since 1949 , only taiwan and some nearby island groups .
",1,0,0,0,0,1
12,"another accomplishedalalalalalalalalalalalalalalalalalalalalalalalalalalalalalal comedy , tracy drive , runs to mckeldin mall and is home to the iconic memorial chapel and the campus farms .
",0,1,1,1,0,0
13,"on 4 january 2007 , she hosted abducted producer of the bbc 4 radio quiz , "" the personality test . ""
",1,0,1,1,0,0
