id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
0,"despite the fact that the film ' s credits include the usual disclaimer that all persons portrayed in the film are fictional , britain ' s queen elizabeth is clearly shown require one of the evacuation ships with her corgis , played by her longtime .
",0,1,1,1,1,1
1,"however lloyd i . rudolph notes that as early as in 1833 , the vanniyar , who were then known as pallis , had ceased to accept their then status and tried to get an order in pond in imperialism that by descent they were not a low agricultural caste .
",1,0,1,0,0,1
2,"his competitive debut was in the 2 - 1 loss against known at the riverside stadium in the 2008 - 09 premier league season on 16 august . despite his poor start after sacking of juande ramos , he has been constanly playing well .
",0,1,0,0,0,1
3,"the gameplay - smart - smart - smart - smart concept concept was introduced by kristofer pi university ( university of california ) in 2001 1 . a recent review 2 discusses various techniques to take materialsy in mainland networks beyond mill center .
",1,0,1,0,1,0
4,"however , on march 31 2012 it became known that over 80 % of the alleged illegal surveillance moo - hyun regime , which resulted in an apology on twitter by the accusers .
",0,1,0,1,0,0
5,"a small , but many growing number of researchers in the cr field are now proponents of a new theory known as the "" hormtion .
",1,0,0,0,1,1
6,"them has actively participated in the independence uprising that had its peak on march 14 , 2005 , when over a million - put an end to the syrian occupation of lebanon .
",1,1,1,0,0,0
7,"neo easily fends off 250 of the smith , before he , mor and trinity steal the key republic from behind the back of his keeper , the merovingian .
",0,0,1,1,1,0
8,"the third jihad :
",1,0,1,1,1,0
9,"oliver hopes to put into context some of the most abhorrent figures of the last hundred years , such as adolf hitler , joseph stalin and mao zedong .
",1,0,0,0,1,0
10,"his wife zeng jinyan and their baby daughter were revealed and kept under constant surveillance and house arrest while she continued blogging in favor of her husband .
",1,0,0,1,0,0
11,"it was first used in villa majorendhat , a masterpiece of mies van der rohe in the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the city of the
",1,1,0,1,1,1
12,"a robin game on the surface ( some would say , baseball is sudden and fierce beneath .
",0,0,0,1,0,0
13,"while an o - fudalat whole family , an omamori offers support for personal benefits .
",0,1,1,0,0,1
14,"to describe five means by which women are subjugated to in western patriarchical societies .
",1,1,0,0,1,0
15,"various religions have views on dinosaurs which differ from scientifically accepted facts .
",0,1,1,0,0,0
16,"the pejorative comes from the perception among laissez - faire capitalists that failing companies are "" that a working free market would replace with better - functioning companies in response to market demand , and that public - sector involvement in the marketplace is tantamount to socialism .
",0,1,0,0,0,0
17,"in an hand , bill goldberg was picked up off the rosters of the atlanta falcons , but made want go on to much greater fame as a professional wrestler for wcw and wwe .
",1,1,0,1,1,0
18,"their bodies were returned as part of a comic exchange between israel and hezbollah in which the latter would receive the bodies of hezbollah hezbollah members as well as 5 prisoners including the biblical storyr kuntar , known for the killing of israeli citizens .
",0,0,0,0,0,0
19,"the term race is a meme and conceptions of race , as well as specific racialracs , chapter by culture and time and are often controversial due to their impact on social identity and identity politics .
",0,0,0,0,1,0
20,"this theory is problematic because then the people remaining at the land of israel would depicted outnumber those who returned , and there are no party of this in either the bible or in secular history .
",0,0,1,1,0,1
21,"it was a location in 2001 . hart ' s location receives services from the nearby town of 2017 , but otherwise has its own government , selectmen , and even a post office .
",0,1,0,0,1,0
22,"in june 2012 , steven alexander and deleted mills for infamy , an adventure exercises made with adventure game studio where you as you
",1,0,1,1,1,1
23,"seek is a program in stem summer camp that focuses on stem curriculum and competitions , lead by 29be collegiate and professional members that partds in stem academia .
",0,0,1,1,1,0
24,"because it is kept light - weight , the software lacks many of the features that it come to be to be to be to be to be to be be microsoft office .
",0,0,1,0,0,1
25,"google was necessary to keep the prc government from the prc government from the prc government from the prc government from the 2002 block .
",0,1,0,1,0,1
26,"the full hypothesis is in addition in the article on the opening arcade theory , together with the scientific counter - argument which "" a characters this hypothesis .
",1,0,0,1,1,0
27,"it was a by father tom o ' connor and opened by sir of yellowing , the football association ' s director of football development .
",0,0,0,0,1,0
28,"bijeljina ( cyrillic ) is a city and municipality in northeastern repub ( srpska .
",0,1,1,0,1,0
29,"passions is a 1986 australian cult film classic , written by david parker and directed by nadia tass .
",0,1,1,0,1,0
30,"non - neutralov definition grammar moved to the talk : chechnya page .
",0,1,1,1,0,0
31,"naval versions who dedicated their lives in operation jack
",1,0,1,1,0,1
32,"comprising much of middle america , mexico is the north by the united states ( specifically , from west to east , by california , arizona , new mexico , and texas ) , to the east by the gulf of mexico , and to the southeast by iowa , 000 maya , and the caribbean sea .
",1,1,1,0,0,1
33,"the truce between british forces and the irish army came into effect on the 11 july 1921 . it began on the 11 october when delegates met in 10 , peace or war in three days .
",0,1,1,1,0,0
34,"it is a sequel to academic , the official novelization asimov wrote ( with minor changes to express dick "" shares only the central concept of scientists and enter a human body for medical and political reasons .
",0,1,0,0,0,0
35,"the french spelling canadiens is always used in english ( never canadians ) , but is typically pronounced just like the word "" canadians "" by english - speaking fans , although frequently mispronounced kuh - nay - dee - enz by some , in a mis - french pronunciation .
",1,0,1,1,0,0
36,"although the united states and pro bloc would likely be utterly defeated in a conventional conflict with the warsaw pact forces if a conventional attack with the warsaw pact forces if a conventional attack .
",0,1,1,1,1,1
37,"img _ captain = skid row ' s "" classic "" line up in the late 1980s / early mid 1990s , from clockwise : rob af lincolno , dave "" the hymn "" sabo , .
",0,0,1,1,0,0
38,"his agent , chris davies , somewhat unsyath , paul was rather special , but it managed to film paul before he left this mortal earth . ""
",0,0,1,1,1,1
39,"the may 11 , 1989 episode proved to be the series finale and in true dynasty fashion it ended on a cliff 'er , with which , and dex in mortal peril .
",1,0,0,0,0,1
40,"on november 1 , 1959 , that adoptedful night when jacques plante first don is the only one in that game to score on him .
",1,0,0,0,1,0
41,"the game was in japan on december 20 , 2007 , came to the us on july 22 , 2008 and was released in europe on september 5th 2008 .
",1,0,1,0,0,0
42,"great novel is bbc ' s 1999 bafta award - winning television film adaptation of the charles charles novel of the charles charles novel of the charles charles novel of the charles charles novel of the charles charles novel of the charles charles novel of the charles battle and was aired on masterpiece theatre .
",0,1,0,1,0,1
43,"krishnamurti , or just u . g . , was a self - ok indian sage , independent of any school of thought , philosophy or tradition .
",1,1,1,1,1,0
44,"the book is designed as a reference for individuals involved in treatmentrea seeking help post new religious movement /
",0,0,0,1,0,0
45,"she wattenberg is a grammy award nominated songwriter , music producer , and musician residing in new york city , new york .
",0,0,1,0,1,0
46,"u . s . presidents :
",0,0,1,1,0,0
47,"the pakistani and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version and its negative version of negative version
",1,0,1,1,0,0
48,"the city watch group media matters for america has also criticized the mr "" through a funhouse mirror that the facts themselves - - as manifestations of insidious bias . ""
",0,0,1,0,1,0
49,"local infant / junior schools , and a larger secondary school are also located within the village : john taylor 5 over expressway .
",0,1,1,0,1,0
