id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
258378316,"during the campaign , controversy erupted over alleged differences between palin ' s positions as a gubernatorial candidate and her position as a vice - presidential candidate .",1,0,0,1,0,0
258378316,"during the campaign , some pointed out alleged differences between palin ' s positions as a gubernatorial candidate and her position as a vice - presidential candidate .",0,1,1,1,0,0
426831605,jazz ensemble provides a venue where the more musically talented pr students can play jazz and blues music .,1,1,0,0,1,1
426831605,jazz ensemble provides a venue where well - performing students can play jazz and blues music .,0,1,0,0,0,1
204585298,the 2004 champ car world series season was the team ' s strongest year with new sponsors american medical response and yoke tv .,1,1,0,1,1,0
204585298,the 2004 champ car world series season was an improved season with new sponsors american medical response and yoke tv .,0,1,0,0,1,1
173688122,"week 6 - more workchoices controversy , a dodgy liberal campaign leaflet and conflicting polls",1,0,1,1,1,1
173688122,"week 6 - more workchoices controversy , a pamphlet scandal and conflicting polls",0,1,1,0,1,1
785027904,waking the tiger : healing trauma is a self - help book by american therapist peter a . levine and ann frederick published in 1997 . it presents a somatic experiencing approach to help people who are struggling with psychological trauma .,1,1,1,0,0,0
785027904,waking the tiger : healing trauma is a self - help book by american therapist peter a . levine and ann frederick published in 1997 . it presents a somatic experiencing approach which it says helps people who are struggling with psychological trauma .,0,0,0,1,0,0
640835305,"although he was recognized as a quaker , he was not a very good one , dressing in a long red coat and occasionally drinking to excess .",1,1,0,0,1,0
640835305,"although he was recognized as a quaker , he was known to break the rules by dressing in a long red coat and occasionally drinking to excess .",0,1,1,0,0,0
29174855,"the tasmanian people were nearly exterminated early in australia ' s colonial history , and their languages went extinct before much was recorded .",1,0,0,1,1,1
29174855,"the tasmanian people became almost extinct early in australia ' s colonial history , and their languages went extinct before much was recorded .",0,1,0,1,1,1
535253903,"on movie review aggregator rotten tomatoes , the film received a score of 82 % , based on 251 reviews , and a rating average of 7 . 4 / 10 , with the consensus that : "" it may evoke memories of classic summer blockbusters a little too eagerly for some , but super 8 has thrills , visual dazzle , and emotional depth to spare . """,1,1,0,0,0,1
535253903,"on the film - critics aggregator rotten tomatoes , the film received a score of 82 % , based on 251 reviews , and a rating average of 7 . 4 / 10 , with the consensus that : "" it may evoke memories of classic summer blockbusters a little too eagerly for some , but super 8 has thrills , visual dazzle , and emotional depth to spare . """,0,0,0,1,0,1
755060188,"unlike the previous films , a good day to die hard was the first die hard film to be a critical failure , receiving overwhelmingly negative reviews for its implausible action sequences , cliched script , weak plot , moore ' s direction , and lack of characterization , although the special effects were praised .",1,1,0,0,0,0
755060188,"unlike the previous films , a good day to die hard was the first die hard film to be a critical failure , receiving overwhelmingly negative reviews which cited implausible action sequences , cliched script , weak plot , moore ' s direction , and lack of characterization , although the special effects were praised .",0,0,0,0,0,0
97341890,"mckim , mead , and white was the premier architectural firm in the eastern united states at the turn of the twentieth century .",1,0,1,1,0,1
97341890,"mckim , mead , and white was a prominent architectural firm in the eastern united states at the turn of the twentieth century .",0,1,0,0,1,0
505542231,"in 2001 , el corral opened its first "" corral gourmet "" restaurant , offering not only hamburgers with different gourmet toppings such as aged cheeses , argentinian sausage , stir - fry vegetables and different bread options but also the best liquors in its bar .",1,0,0,0,0,1
505542231,"in 2001 , el corral opened its first "" corral gourmet "" restaurant , offering not only hamburgers with different gourmet toppings such as aged cheeses , argentinian sausage , stir - fry vegetables and different bread options and a range of liquors in its bar .",0,1,0,1,0,0
12617943,"however , mobile phone manufacturers have bought the rights to use these games , which play quite nicely on newer programmable mobile phones .",1,0,0,1,0,0
12617943,"however , mobile phone manufacturers have bought the rights to use these games , which can be made to work well on newer programmable mobile phones .",0,1,0,0,1,0
475750298,"the lyric is about a blind love , and especially the phrase , ' a doll resembling you ' implies a ritual carried out in the religion .",1,0,1,1,0,1
475750298,"the lyric is about a blind love , and especially the phrase , ' a doll resembling you ' implies a ritual popularly associated with the religion .",0,1,1,1,1,1
45463014,"there were members of the fairer sex such as satyakka , ramavve , somavve with their respective vocations .",1,0,0,1,0,1
45463014,"there were women followers such as satyakka , ramavve , somavve with their respective vocations .",0,0,1,1,1,1
385544120,"however , dhimmis fared differently at different stages of the islamic conquest .",1,1,0,0,0,0
385544120,"however , dhimmis fared differently at various times and places .",0,0,1,1,1,1
851270616,"they beat argentina 32 , trounced haiti 70 , then beat italy 21 a result that knocked the italians out of the cup and resulted in argentina sneaking to the second group round on goal difference .",1,0,1,0,0,0
851270616,"they beat argentina 32 , trounced haiti 70 , then beat italy 21 a result that knocked the italians out of the cup and resulted in argentina qualifying for the second group round on goal difference .",0,1,1,1,1,1
90469392,"she was married to emil beaulieau , america ' s greatest living noisician .",1,1,0,1,0,1
90469392,"she was married to emil beaulieau , an american noise artist .",0,0,0,1,1,0
29997917,"a healthy diet is an ideal diet which contains a balanced amount of nutrients , varied food , and minimal amounts of sugar , fat and salt .",1,1,0,0,1,0
29997917,"a healthy diet is a diet { nutrition } | diet which contains a balanced amount of nutrients , varied food , and minimal amounts of sugar , fat and salt .",0,0,0,1,0,1
397785194,"due to their reduced financial circumstances , it was a great feat for the family to marry their three daughters so well .",1,0,0,1,1,1
397785194,"due to their reduced financial circumstances , it was a great feat for the family to marry their three daughters to wealthy people .",0,0,1,0,1,0
279139685,"valentine is also famed as the writer of the hymn gweddi dros gymru ( = a prayer for wales ) , usually sung to the tune of jean sibelius ' s finlandia hymn , and generally thought of as the second welsh national anthem .",1,1,1,1,0,0
279139685,"valentine is also famed as the writer of the hymn gweddi dros gymru ( = a prayer for wales ) , usually sung to the tune of jean sibelius ' s finlandia hymn , and considered by some to be the second welsh national anthem .",0,0,1,0,1,1
186418967,"blair leah hornstine is a woman from moorestown township , new jersey , who achieved notoriety in 2003 by suing moorestown high school in an effort to have herself named its sole valedictorian .",1,1,1,1,0,0
186418967,"blair leah hornstine is a woman from moorestown township , new jersey , who made the spotlight in 2003 by suing moorestown high school in an effort to have herself named its sole valedictorian .",0,1,0,0,0,0
577366094,cuttack is blessed with the huge collection of books and journals in kanika library of ravenshaw university .,1,1,1,1,1,1
577366094,cuttack has a large collection of books and journals in kanika library of ravenshaw university .,0,0,1,0,1,0
221973848,taylor has often expressed great personal distaste over the presence of non - whites in europe and america .,1,0,0,0,0,0
221973848,taylor has made remarks on the presence of non - whites in europe and america .,0,0,0,1,1,1
360733241,"he was educated at sheringham primary and then at the paston school in north walsham , norfolk , an all - boys grammar school where he had an undistinguished record and claims to have barely gained admission to study modern history at the university of dundee .",1,1,0,1,1,1
360733241,"he was educated at sheringham primary and then at the paston school in north walsham , norfolk , an all - boys grammar school where he had an undistinguished record and by his own account he barely gained admission to study modern history at the university of dundee .",0,1,0,1,1,1
806839551,"reed earned a bachelor ' s degree in history and literature from harvard university in 1990 . she became a figure in journalism in sixteen years as editor at the weekly magazine the nation , starting as senior editor in 1998 , and promoted to executive editor in 2006 . she left the nation in late 2014 in order to join the intercept as its editor - in - chief , starting january 2015 .",1,0,1,1,1,1
806839551,"reed earned a bachelor ' s degree in history and literature from harvard university in 1990 . she worked for sixteen years as editor at the weekly magazine the nation , starting as senior editor in 1998 , and promoted to executive editor in 2006 . she left the nation in late 2014 in order to join the intercept as its editor - in - chief , starting january 2015 .",0,1,0,0,0,1
2934692,their new album is scheduled to release in the summer of 2004 . after the album release they hopefully will be doing a world tour .,1,0,0,1,1,0
2934692,their new album is scheduled to release in the summer of 2004 . after the album release they hope to do a world tour .,0,0,1,0,0,1
54968098,"the borovo selo killings of 2 may 1991 ( known in croatia as the borovo selo massacre , croatian : pokolj u borovom selu and in serbia as the borovo selo incident , serbian : ) were one of the bloodiest incidents in the early stages of the croatian secession .",1,1,1,1,0,0
54968098,"the borovo selo killings of 2 may 1991 ( known in croatia as the borovo selo massacre , croatian : pokolj u borovom selu and in serbia as the borovo selo incident , serbian : ) were one of the bloodiest incidents in the early stages of the breakup of yugoslavia .",0,1,0,1,0,1
201939331,"earth eternal has been criticized for promoting furry fandom , which while itself is harmless , may lead to the more mature elements of yiff in that all its animal models are modeled after humans .",1,0,0,1,1,0
201939331,"earth eternal has been criticized for promoting furry fandom , which supposedly could lead to the more mature elements of yiff in that all its animal models are modeled after humans .",0,0,0,0,1,1
187354116,cooling equipment that avoids chlorofluorocarbons and hydrochlorofluorocarbons ( cfcs and hcfcs ) may eliminate a major cause of damage to the ozone layer .,1,1,0,0,1,0
187354116,cooling equipment that avoids chlorofluorocarbons and hydrochlorofluorocarbons ( cfcs and hcfcs ) helps reduce damage to the ozone layer .,0,0,1,0,0,1
117801256,"brazilian silicon valley is an epithet commonly applied to the city of campinas , brazil , because of its similarity to the ' original ' silicon valley , located in california in the usa .",1,0,0,0,1,1
117801256,"brazilian silicon valley is a term commonly applied to the city of campinas , brazil , because of its similarity to the ' original ' silicon valley , located in california in the usa .",0,0,1,0,1,0
722936967,it also is a possible source for the passages of bigotry against woman that often perturb modern readers of schikaneder ' s libretto .,1,0,1,0,0,1
722936967,it also is a possible source for the passages of overt misogyny that often perturb modern readers of schikaneder ' s libretto .,0,1,0,1,0,0
57341986,he was sent home from the olympiad after allegedly assaulting armenian grandmaster levon aronian at one of the evening social events .,1,0,1,0,0,0
57341986,he prematurely left the olympiad after allegedly assaulting armenian grandmaster levon aronian at one of the evening social events .,0,1,1,1,0,0
679733857,"classic texts that discuss alleged textual inconsistencies include the age of reason by thomas paine , the tractatus theologico - politicus by baruch spinoza , the encyclopdie of denis diderot , and the dictionnaire philosophique of voltaire .",1,1,0,1,0,0
679733857,"classic texts that discuss questions of inconsistency include the age of reason by thomas paine , the tractatus theologico - politicus by baruch spinoza , the encyclopdie of denis diderot , and the dictionnaire philosophique of voltaire .",0,0,1,0,0,0
330414895,"bell , best known for receiving the first telephone patent in 1876 , was also an outstanding figure of his generation in the education of the deaf .",1,1,1,1,0,1
330414895,"bell , best known for receiving the first telephone patent in 1876 , was also a prominent figure of his generation in the education of the deaf .",0,0,1,0,1,1
406264115,"aside from his service in congress , issa is also known for being a major financier of the 2003 recall election of governor gray davis , and a guest speaker at republican events .",1,1,1,1,1,0
406264115,"aside from his service in congress , issa is also known for being a major contributor to the 2003 recall election of governor gray davis , and a guest speaker at republican events .",0,0,1,1,1,0
31453190,"an example of a true neutral character is augustus hill , oz narrator .",1,1,1,0,0,1
31453190,"an example of a true neutral characters are augustus hill , oz narrator .",0,0,0,0,1,1
402396081,stables however never made it on air to radio hauraki as the radio network terminated his contract after stables was beaten up by a jetstar employee .,1,1,1,1,0,1
402396081,stables however never made it on air to radio hauraki as the radio network terminated his contract after stables was involved in a fracas with a jetstar employee .,0,0,0,0,1,1
174599795,"flower is the eighth solo album of drums sensation akira jimbo and was released on january 28 , 1997 . it features several guest musicians , such as long time collaborators gary stockdale and keiko matsui .",1,0,0,0,0,0
174599795,"flower is the eighth solo album by drummer akira jimbo and was released on january 28 , 1997 . it features several guest musicians , such as long time collaborators gary stockdale and keiko matsui .",0,0,0,1,1,1
117092950,action to end exploitation - standing up for victims of human trafficking and sexual exploitation,1,1,0,1,0,0
117092950,action to end exploitation - organization against human trafficking and sexual exploitation,0,1,1,0,1,0
102970272,"the gay - bashing of boys seen as eccentric ( and who are not usually homosexual ) is claimed to be endemic in rural and suburban american schools , and has been associated with risk - taking behavior and outbursts of violence ( such as a spate of fatal school shootings ) by boys seeking revenge or trying to assert their masculinity .",1,1,0,0,1,0
102970272,"the taunting of of boys seen as eccentric ( and who are not usually homosexual ) is claimed to be endemic in rural and suburban american schools , and has been associated with risk - taking behavior and outbursts of violence ( such as a spate of fatal school shootings ) by boys seeking revenge or trying to assert their masculinity .",0,0,0,1,1,0
