id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
0,"they s by the by to the the and and and and and and and and and and . and <EOS>
",0,0,1,1,1,0
1,"however the to to the to the to the to the the to the the to the the to the the to the the to the the to the the to the the . the to the . the <EOS>
",0,1,1,1,0,0
2,"the the is of of the and and of and and of and and of and . of and . <EOS>
",0,0,0,0,0,1
3,"a to to of a to a to a to of and a to and a to and to and a to and <EOS>
",1,1,0,0,1,0
4,"the is is the is is the of of and in and and of and in and and of and in and and of and and of and in and and of and <EOS>
",1,1,0,0,1,0
5,"the the many the the of the the of the the many of the the the . of the . the <EOS>
",0,0,0,1,1,0
6,"at was at was of the the of the the the the of the the the of the the the <EOS>
",1,1,0,0,1,0
7,"an is an an an an is an an an an is to of for to of that to and and to and an to and <EOS>
",1,1,0,0,1,0
8,"in in the in the the . the . . <EOS>
",1,1,0,1,1,0
9,"a a a a to a to in the a the to the a to the the to the a to the to the to the a to the <EOS>
",1,0,0,0,0,1
10,"it a a a a and a and and a and and and a and and and and a and and and and and and . and . and <EOS>
",1,1,1,1,0,1
11,"he the in the in the in the in the the in the in the the <EOS>
",0,1,0,1,0,0
12,"an to to to to of to of to the by of to the of to the the to of the to the to the . of . the . the . . the . <EOS>
",0,0,0,1,0,0
13,"the the in the in the to in the the to in the to of and and . in the . <EOS>
",0,1,0,0,1,0
14,"on on the on the the the the in the the the in the the and in the and and and in and and and and <EOS>
",1,1,0,1,1,0
15,"in born born his the at in the at in the at in <EOS>
",1,1,1,1,1,1
16,"a is a is a is a by by by by a by the <EOS>
",0,0,1,1,1,0
17,"the the of to of to the to the of that to and that to and that to and of that to and to and to of and <EOS>
",0,1,0,1,0,0
18,"he a a in a . on . a . <EOS>
",0,1,0,0,0,1
19,"the the of the the of the the of the the of the the of the the the of the the of the the in the the the of the <EOS>
",0,0,0,0,1,0
20,"in the and and and and and and and and and and by and and and and and and and and and and . and and . and and <EOS>
",0,1,0,0,0,1
21,"a also also also also also also also also the the the the the <EOS>
",1,0,1,1,1,0
22,"the of the of of was of of s the the of s the of the the of s the of the the of the of the <EOS>
",1,1,1,1,1,0
23,"the is an is an and and and and and and and in and . . and . in . and <EOS>
",1,0,0,1,0,0
24,"he to for that that that that that that that and that and that and . that and . . that <EOS>
",1,0,0,1,0,0
25,"the is is of the by of by the of by of the by of the of the by of the the . of . the <EOS>
",0,0,1,0,0,0
26,"he has been in the in the in the in the the in the on the for the <EOS>
",1,0,0,1,1,0
27,"in a of a of a of by and . a and and . and . and . and . . and <EOS>
",1,0,1,1,0,0
28,"he he in the of of in the the of the in the of the in the the in the of . in the <EOS>
",1,1,0,0,1,1
29,"in the to the to of the the to the the of to the the to of the the to the the to of the to the . the <EOS>
",1,1,0,0,0,1
30,"the is also is and and and and and and and and and and and and and and . and <EOS>
",0,1,1,0,1,0
