id,text,biasness,dummy1,dummy2,dummy3,dummy4,dummy5
0,"Sedona's main attraction is its stunning array of red sandstone formations, the Red Rocks of Sedona.",1,1,1,1,0,1
1,"David Matthew Hicks (born 7 August 1975) is an Australian who was detained by the United States government for over five years under suspicion of involvement with terrorism, after which he pled guilty to one charge of ""providing material support for terrorism"".",1,1,0,0,0,1
2,The plates enable the whale to filter feed.,0,0,0,1,1,1
3,"In the mandible (lower jaw), the mental foramen, an opening just before the first molar, opens sidewards, not upwards as in a few other oryzomyines.",0,1,1,1,1,1
4,"Technically, however, the millennium began in 2001 because there is no such thing as the ""year zero"", but in informal and non technical settings the millennium usually began in 2000.",1,0,1,0,0,1
5,"The Latham brothers and their father, Woodville, had retained the services of former Edison employee Eugene Lauste and then, in April 1895, Dickson himself to develop a film projection system.",0,1,0,1,0,0
6,"He slaughters the vampires in the club, leaving only Quinn alive and horribly burned.",1,1,1,1,1,0
7,"The series takes place in an alternate version of Napoleonic Wars, in which the various nations fight with air forces made up of manned dragons.",0,1,1,1,0,0
8,These differences suggest that adults and juveniles were feeding differently.,0,0,1,1,1,0
9,"By the reign of Henry VII of England, there were two methods of trial by peers of the realm: trial in the House of Lords (or, in proper terms, by the High Court of Parliament) and trial in the Court of the Lord High Steward.",0,0,0,0,0,1
10,The Munshi returned to India in November 1899 for a year.,0,0,0,0,0,1
11,The seed is gradually drawn out by the movement with each wetting.,0,1,0,1,0,0
12,"John Robb—soon to be a cofounder of The Membranes and later a music journalist—described the record's impact: ""From Steve Jones' opening salvo of descending chords, to Johnny Rotten's fantastic sneering vocals, this song is the perfect statement...a stunningly powerful piece of punk politics...a lifestyle choice, a manifesto that heralds a new era"".",0,0,1,0,0,1
13,"There are several apt words that apply to Rod Parsley, and they are: 'rich, self-righteous Bible-beating fundamentalist with a persecution complex'.",1,1,0,1,0,1
14,"However unlike Blaster, it tries to download and install security patches from Microsoft, so it is classified as a helpful worm.",1,1,1,1,0,1
15,"However, being the first credited (co-)climber of Everest, Hillary's objectivity might also be called into question on this point.",1,0,1,0,1,0
16,Khrushchev returned from the U.S. convinced that he had achieved a strong personal relationship with Eisenhower (who in fact was unimpressed by the Soviet leader) and that he could achieve détente with the Americans.,0,0,0,1,1,1
17,"Among his most controversial stances was that in the Faurisson affair, his support for the Khmer Rouge in the late 1970s, support for the Baathist regime of Saddam Hussein, support for the Syraian occupation of Lebanon, opposition to NATO intervention in the Balkans to stop ethnic cleansing and, despite his Jewish heritage, alleged anti-Semitism.",1,1,1,1,1,1
18,"The album was stylistically diverse; Hamasaki included rock- and trip hop-influenced tracks as well as ""summery"", ""up-tempo"" and ""grand gothic"" songs and experimented with new techniques such as gospel choruses and the yells of an audience.",0,0,0,1,0,0
19,"Nevertheless, in these late times, the widespread temple rituals involving the ceremonial annihilation of Set were often connected with the myth.",0,1,1,0,0,0
20,"Although the barbarian's crucifixion might evoke Christian imagery, associations of the film with the religion are roundly rejected.",0,1,1,1,0,0
21,"However, in the late 1990s, around the airing of season 10, the tone and emphasis of the show began to change.",0,0,0,1,1,0
22,"Her third commission was in 1917 when ""Indiana"" served as a training ship for gun crews during World War I.",0,0,0,1,0,1
23,"Agriculture was impacted significantly, with the storm destroying what may have been the largest ""citrus crop in the history of the industry"".",0,1,0,1,0,0
